date,USD,GBP,EUR
2024-10-31,0.0002762780739364532,0.00021589970174728333,0.00026278201379572187
2024-10-30,0.0002899984832387968,0.00021075689357133185,0.00025052722575639574
2024-10-29,0.00027416200071374617,0.00021300267696362364,0.0002508195357730473
2024-10-28,0.00028612571256752135,0.0002204070915818015,0.00025372361966754137
2024-10-27,0.00027218595397463966,0.0002208320677762166,0.0002641240387919859
2024-10-26,0.00027294709049222174,0.00021707919217140378,0.0002597030678424696
2024-10-25,0.00028268765049389746,0.0002125912647526588,0.0002639964321106063
2024-10-24,0.0002772339005479389,0.00021693480243513877,0.00026477748866764026
2024-10-23,0.00027021009206281327,0.0002208480377773993,0.00025840694404812486
2024-10-22,0.00027632399407274424,0.00022028154535000445,0.0002661456083241607
2024-10-21,0.000272016980723504,0.00022315921895571763,0.0002510496456131637
2024-10-20,0.00027084638802616387,0.00022407427657480914,0.0002621992787774177
2024-10-19,0.0002776494605345074,0.0002125068888775035,0.0002568046877125184
2024-10-18,0.0002760760289846833,0.0002233050755955913,0.0002549627415511168
2024-10-17,0.0002708113832193334,0.00022089492419537286,0.0002662310559588689
2024-10-16,0.0002713627803353505,0.0002239866268268558,0.0002542423171318587
2024-10-15,0.0002898786295676515,0.00022113422114697945,0.00025163866389807995
2024-10-14,0.0002758959920187429,0.00021501499781277536,0.0002518829783807284
2024-10-13,0.0002824381792535935,0.0002226043092071191,0.00026629233607947225
2024-10-12,0.00028754168984039964,0.00021604785143234352,0.0002651947991988753
2024-10-11,0.0002802600419987345,0.00021371282785338905,0.00025568245439023965
2024-10-10,0.0002888967965094164,0.00022132312042158698,0.0002559518690613325
2024-10-09,0.00027438997043302804,0.00022348814576496494,0.00025842684024775323
2024-10-08,0.00027986936456470907,0.0002241433888046463,0.0002600567604497392
2024-10-07,0.00027159144371372056,0.00021495431270542392,0.0002678479598121955
2024-10-06,0.00028583645286724396,0.0002101140255616946,0.0002520771320163776
2024-10-05,0.00028126510222848723,0.00022162522134643072,0.00026422000422410963
2024-10-04,0.00028587341135255956,0.0002173155354177361,0.00026611226688527515
2024-10-03,0.00027549016932357467,0.00022334747518507243,0.00025673886177699596
2024-10-02,0.0002729749394519758,0.00022193434276909118,0.00026537870851815786
